Turning on Radio log 
21:14:12 | [Local] | Connected to BLE device
21:14:12 | [Local] | Calling ollama LLM
21:14:12 | [Local] | Intro audio started
21:14:12 | [Local] | ffplay audio process started
21:14:19 | [Local] | Intro audio bytes written to ffplay
21:14:20 | HTTP Request: POST http://127.0.0.1:11434/api/generate "HTTP/1.1 200 OK"
21:14:20 | [Local] | Sentence Queued for TTS
21:14:22 | [Local] | movement status received: still
21:14:24 | [Local] | Sentence Queued for TTS
21:14:34 | [Local] | Sentence Queued for TTS
21:14:38 | [Local] | Sentence Queued for TTS
21:14:46 | [Local] | Sentence Queued for TTS
21:14:48 | [Local] | Playing song: rel3.wav
21:15:04 | [Local] | Song complete, segment_done set
21:15:04 | [Local] | Calling ollama LLM
21:15:04 | [Local] | movement status received: active
21:15:04 | [Local] | Stop signal received
21:15:04 | [Local] | Closing Audio process
21:15:05 | [Local] | ffplay audio process stopped
21:15:05 | [Local] | Stop command sent to TTS queue
21:15:05 | [Local] | TTS stop sentinel received
21:15:05 | [Local] | Broadcast ended for Patrick
21:15:06 | [Local] | BLE disconnect event received
21:15:07 | [Local] | BLE Task cancelled
21:15:07 | [Local] | icon cleared 
21:15:07 | [Supervisor] | Stopping channel: Local
21:15:07 | [Supervisor] | Starting Channel: AnalogueRadio
